title,link,published,category
Нейросеть создала прототип «советского айфона»,https://lenta.ru/news/2022/12/25/ussriphone/,"Sun, 25 Dec 2022 04:55:00 +0300",Наука и техника
Ученые выявили признаки щедрого мужчины,https://lenta.ru/news/2022/12/25/shedriymuzh/,"Sun, 25 Dec 2022 04:44:00 +0300",Наука и техника
Популярный iPhone подешевел в России,https://lenta.ru/news/2022/12/25/deshevo/,"Sun, 25 Dec 2022 04:30:25 +0300",Наука и техника
Американский телеведущий назвал главную ложь года о России,https://lenta.ru/news/2022/12/25/lie/,"Sun, 25 Dec 2022 04:24:00 +0300",Интернет и СМИ
Россияне во время корпоратива заперли коллегу в сейфе и не смогли его освободить,https://lenta.ru/news/2022/12/25/seif/,"Sun, 25 Dec 2022 03:59:42 +0300",Россия
Венгрия предупредила об «опасной ситуации» из-за роста цен на энергоносители,https://lenta.ru/news/2022/12/25/orban/,"Sun, 25 Dec 2022 03:58:05 +0300",Мир
США прокомментировали решение талибов отстранить женщин от работы в НПО,https://lenta.ru/news/2022/12/25/npo/,"Sun, 25 Dec 2022 03:52:47 +0300",Мир
Юрист предупредила россиян об опасных кредитах,https://lenta.ru/news/2022/12/25/kredity/,"Sun, 25 Dec 2022 03:39:39 +0300",Россия
Премьер-министр Белоруссии заявил о дефляции в стране,https://lenta.ru/news/2022/12/25/deflation/,"Sun, 25 Dec 2022 03:31:10 +0300",Бывший СССР
Эрдоган пообещал новые данные по газовому месторождению в Черном море,https://lenta.ru/news/2022/12/25/erdogan/,"Sun, 25 Dec 2022 03:20:41 +0300",Мир
